Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.54,-7.577 → 33.551,-7.587",33.53989839731031,-7.576892643969408,33.55127435043131,-7.58723626974825,89
"33.54,-7.577 → 33.543,-7.585",33.53989839731031,-7.576892643969408,33.54279982987987,-7.585143142577575,90
"33.54,-7.577 → 33.536,-7.584",33.53989839731031,-7.576892643969408,33.536287806029854,-7.583964839552067,91
"33.543,-7.585 → 33.543,-7.593",33.54279982987987,-7.585143142577575,33.54280456391236,-7.592916865060728,92
"33.543,-7.585 → 33.551,-7.587",33.54279982987987,-7.585143142577575,33.55127435043131,-7.58723626974825,93
"33.543,-7.585 → 33.54,-7.577",33.54279982987987,-7.585143142577575,33.53989839731031,-7.576892643969408,94
"33.543,-7.585 → 33.536,-7.584",33.54279982987987,-7.585143142577575,33.536287806029854,-7.583964839552067,95
"33.536,-7.584 → 33.543,-7.593",33.536287806029854,-7.583964839552067,33.54280456391236,-7.592916865060728,96
"33.536,-7.584 → 33.551,-7.587",33.536287806029854,-7.583964839552067,33.55127435043131,-7.58723626974825,97
"33.536,-7.584 → 33.54,-7.577",33.536287806029854,-7.583964839552067,33.53989839731031,-7.576892643969408,98
"33.536,-7.584 → 33.543,-7.585",33.536287806029854,-7.583964839552067,33.54279982987987,-7.585143142577575,99
"33.553,-7.598 → 33.561,-7.602",33.552638813319106,-7.598079673528729,33.5612239916881,-7.602434066270029,100
"33.553,-7.598 → 33.551,-7.607",33.552638813319106,-7.598079673528729,33.55110680622544,-7.606628807644618,101
"33.553,-7.598 → 33.557,-7.609",33.552638813319106,-7.598079673528729,33.55736883893674,-7.609119650922892,102
"33.553,-7.598 → 33.559,-7.595",33.552638813319106,-7.598079673528729,33.5594284108214,-7.594952777566913,103
"33.561,-7.602 → 33.553,-7.598",33.5612239916881,-7.602434066270029,33.552638813319106,-7.598079673528729,104
"33.561,-7.602 → 33.551,-7.607",33.5612239916881,-7.602434066270029,33.55110680622544,-7.606628807644618,105
"33.561,-7.602 → 33.557,-7.609",33.5612239916881,-7.602434066270029,33.55736883893674,-7.609119650922892,106
"33.561,-7.602 → 33.559,-7.595",33.5612239916881,-7.602434066270029,33.5594284108214,-7.594952777566913,107
"33.551,-7.607 → 33.553,-7.598",33.55110680622544,-7.606628807644618,33.552638813319106,-7.598079673528729,108
"33.551,-7.607 → 33.561,-7.602",33.55110680622544,-7.606628807644618,33.5612239916881,-7.602434066270029,109
